id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
6385,,,"136 W Main St",,,,Urbana,Champaign,IL,61801,231
6386,,,"1802 N. Lincoln Avenue",,,,Urbana,Champaign,IL,61801,231
6387,,,"2502 S. Race Street",,,,Urbana,Champaign,IL,61801,231
6388,,,"201 W. Springfield Avenue, Suite 206",,,,Champaign,Champaign,IL,61820,231
6389,,,"1309 W. Hill Street",,,,Urbana,Champaign,IL,61801,231
6390,,,"912 W. Anthony Drive",,,,Champaign,Champaign,IL,61821,231
6391,,,"2212 N. Market Street",,,,Champaign,Champaign,IL,61822,231
6392,,,"1005 Christopher Hall",,,,Urbana,Champaign,IL,61801,231
6393,,,"44 E. Main Street, Room 208",,,,Champaign,Champaign,IL,61820,231
6394,,,"45 E. University Avenue",,,,Champaign,Champaign,IL,61820,231
6395,,,"44 E. Main, Suite 419",,,,Champaign,Champaign,IL,61820,231
6396,,,"400 S. Vine Street",,,,Urbana,Champaign,IL,61801,231
6397,,,"2012 Round Barn Road",,,,Champaign,Champaign,IL,61821,231
6398,,,"421 S. Murray Road",,,,Rantoul,Champaign,IL,61866,231
6399,,,"204 E. Main Street",,,,Urbana,Champaign,IL,61801,231
6400,,,"No Street Address Available",,,,"Wake Forest",Wake,NC,27588,231
6401,,,"400 S. Vine Street",,,,Urbana,Champaign,IL,61801,231
6402,,,"2001 Round Barn Road",,,,Champaign,Champaign,IL,61820,231
6403,,,"520 E. Wabash Drive",,,,Rantoul,Champaign,IL,61866,231
6404,,,"555 S. Maplewood Drive",,,,Rantoul,Champaign,IL,61866,231
6405,,,"1800 Woodfield Drive",,,,Savoy,Champaign,IL,61874,231
6406,,,"201 E. Park Street",,,,Champaign,Champaign,IL,61820,231
6407,,,"1021 North Grand Avenue East",,,,Springfield,Sangamon,IL,62794,231
6408,,,"904 N. Gilbert Street",,,,Danville,Vermilion,IL,61832,231
6409,,,"119 E. University Avenue",,,,Champaign,Champaign,IL,61820,231
6410,,,"No Street Address Available",,,,Champaign,Champaign,IL,61820,231
6411,,,"2110 W. Park Court, Suite B",,,,Champaign,Champaign,IL,618212986,231
6412,,,"310 W. Church Street",,,,Champaign,Champaign,IL,61820,231
6413,,,"2509 S. Neil Street",,,,Champaign,Champaign,IL,61820,231
6414,,,"1776 E. Washington Street",,,,Urbana,Champaign,IL,61802,231
6415,,,"1905 Prairie Winds Drive",,,,Urbana,Champaign,IL,61802,231
6416,,,"422 E. 4th South Street",,,,Arcola,Douglas,IL,61910,231
6417,,,"1315 Curt Drive",,,,Champaign,Champaign,IL,61820,231
6418,,,"418 S. Memorial Park Road",,,,Newman,Douglas,IL,61942,231
6419,,,"8914 N. Prairie Pointe",,,,Peoria,Peoria,IL,61615,231
6420,,,"201 W Kenyon Road",,,,Champaign,Champaign,IL,61820,231
6421,,,"806 N. Logan Avenue",,,,Danville,Vermilion,IL,61832,231
6422,,,"800 N. Logan Avenue",,,,Danville,Vermilion,IL,61832,231
6423,,,"403 N. Fourth Street",,,,Danforth,Iroquois,IL,60930,231
6424,,,"2400 W. Bradley Avenue",,,,Champaign,Champaign,IL,61822,231
6425,,,"2319 E. Memorial Drive",,,,Peoria,Peoria,IL,61614,231
6426,,,"1400 W. Park Street",,,,Urbana,Champaign,IL,61801,231
6427,,,"333 S. Tanner",,,,Rantoul,Champaign,IL,61866,231
6428,,,"503 E. Main Street",,,,Mahomet,Champaign,IL,61853,231
6429,,,"1776 E. Washington Street",,,,Urbana,Champaign,IL,61802,231
6430,,,"1905 E. Main Street",,,,Urbana,Champaign,IL,61802,231
6431,,,"109 E. Grove Avenue",,,,Rantoul,Champaign,IL,61866,231
6432,,,"303 E. Oak Street",,,,Mahomet,Champaign,IL,61853,231
6433,,,"902 N. Country Fair Drive, Unit 7",,,,Champaign,Champaign,IL,61820,231
6434,,,"507 W. Springfield Avenue",,,,Urbana,Champaign,IL,61801,231
6435,,,"106 S. Country Fair Drive, Suite C",,,,Champaign,Champaign,IL,61821,231
6436,,,"121 N. Garrard Street, Suite A",,,,Rantoul,Champaign,IL,61866,231
6437,,,"512 E. Main Street",,,,Mahomet,Champaign,IL,61853,231
6438,,,"222 N. State Street",,,,Champaign,Champaign,IL,61820,231
6439,,,"1776 E. Washington Street",,,,Urbana,Champaign,IL,61802,231
6440,,,"Champaign City Building",,,,Champaign,Champaign,IL,61820,231
6441,,,"102 N. Neil Street",,,,Champaign,Champaign,IL,61820,231
6442,,,"201 W. Kenyon Road, Suite 3",,,,Champaign,Champaign,IL,61820,231
6443,,,"809 N. Neil Street",,,,Champaign,Champaign,IL,61820,231
6444,,,"No Street Address Available",,,,Phoenix,Maricopa,AZ,85067,231
6445,,,"1116 Great Plain Avenue",,,,Needham,Norfolk,MA,24920009,231
6446,,,"1710 E. Windsor Road",,,,Urbana,Champaign,IL,61802,231
6447,,,"502 W. Windsor",,,,Champaign,Champaign,IL,61820,231
6448,,,"201 W. Kenyon Road, Suite 1",,,,Champaign,Champaign,IL,61820,231
6449,,,"706 Kenwood Road",,,,Champaign,Champaign,IL,61821,231
6450,,,"2202 E. Washington Street",,,,Urbana,Champaign,IL,61802,231
6451,,,"45 E. University Avenue",,,,Champaign,Champaign,IL,61820,231
6452,,,"210 W. Church Street",,,,Champaign,Champaign,IL,61820,231
